txn_id,account_id,counterparty_id,amount,timestamp,merchant_category,device_id,ip_region,account_open_date
TX-00001,AC-1142,MR-0033,23.84,2026-02-04 12:10:16,grocery,DV-72657,AZ,2024-04-04
TX-00002,AC-1254,MR-0104,29.74,2026-01-07 12:56:46,travel,DV-44327,WA,2023-09-25
TX-00003,AC-1178,MR-0239,68.54,2026-04-04 07:16:34,electronics,DV-97534,TX,2024-12-08
TX-00004,AC-0502,AC-0505,4265.17,2026-02-04 23:59:54,services,DV-29954,AZ,2025-12-27
TX-00005,AC-1254,MR-0191,49.35,2026-04-03 17:06:01,fuel,DV-44327,WA,2023-09-25
TX-00006,AC-1054,MR-0098,185.19,2026-03-01 11:02:08,electronics,DV-95964,TX,2023-04-10
TX-00007,AC-1134,MR-0125,178.89,2026-03-12 15:54:21,services,DV-76263,TX,2023-10-22
TX-00008,AC-1002,MR-0084,192.39,2026-02-11 16:37:15,services,DV-77847,TX,2024-02-09
TX-00009,AC-1230,MR-0158,73.45,2026-01-09 08:58:28,retail,DV-45248,AZ,2024-05-10
TX-00010,AC-1196,MR-0026,84.89,2026-03-26 08:39:38,dining,DV-12370,CO,2023-07-15
TX-00011,AC-1003,MR-0117,46.47,2026-01-24 15:39:04,travel,DV-74589,TX,2024-10-28
TX-00012,AC-1056,MR-0220,29.01,2026-03-11 11:39:11,electronics,DV-90160,WA,2024-12-30
TX-00013,AC-1021,MR-0151,8.88,2026-03-09 15:45:49,electronics,DV-35782,CO,2024-03-10
TX-00014,AC-1058,MR-0212,110.49,2026-02-11 13:50:19,services,DV-72174,OR,2024-07-31
TX-00015,AC-1169,MR-0190,45.47,2026-02-16 13:31:12,fuel,DV-28740,WA,2023-01-05
TX-00016,AC-1237,MR-0196,78.86,2026-03-30 23:03:51,fuel,DV-39151,NV,2024-05-05
TX-00017,AC-1179,MR-0027,69.72,2026-03-06 17:27:57,electronics,DV-39322,AZ,2024-06-11
TX-00018,AC-1101,MR-0047,34.89,2026-01-09 12:54:28,retail,DV-34000,NV,2024-12-12
TX-00019,AC-1241,MR-0158,32.79,2026-02-15 18:46:09,dining,DV-69477,WA,2023-01-24
TX-00020,AC-1240,MR-0127,142.53,2026-02-22 11:48:21,electronics,DV-25948,OR,2024-06-12
TX-00021,AC-1227,MR-0213,58.35,2026-01-31 15:46:16,electronics,DV-34031,CO,2024-05-14
TX-00022,AC-1244,MR-0030,42.54,2026-03-22 17:54:33,electronics,DV-82491,CO,2024-01-06
TX-00023,AC-1121,MR-0089,82.36,2026-01-18 16:15:06,electronics,DV-42570,CO,2023-10-19
TX-00024,AC-1226,MR-0130,54.72,2026-01-12 13:59:07,travel,DV-17540,TX,2023-04-29
TX-00025,AC-1149,MR-0045,76.18,2026-02-12 14:18:40,travel,DV-68658,NV,2023-10-13
TX-00026,AC-1139,MR-0122,10.79,2026-01-23 13:08:13,fuel,DV-69289,OR,2024-05-23
TX-00027,AC-1256,MR-0038,9.46,2026-03-01 10:31:47,fuel,DV-33743,AZ,2024-01-11
TX-00028,AC-1040,MR-0007,15.75,2026-02-06 17:16:05,services,DV-93341,OR,2023-05-28
TX-00029,AC-1269,MR-0146,69.24,2026-02-20 07:04:05,travel,DV-55482,TX,2024-02-15
TX-00030,AC-1184,MR-0212,84.73,2026-04-04 11:58:28,fuel,DV-54448,NV,2024-04-12
TX-00031,AC-1237,MR-0134,76.75,2026-01-14 18:45:02,electronics,DV-39151,NV,2024-05-05
TX-00032,AC-0502,AC-0505,4804.85,2026-03-11 22:43:36,services,DV-29954,AZ,2025-12-27
TX-00033,AC-1209,MR-0133,9.34,2026-03-09 06:20:17,dining,DV-45641,AZ,2024-07-03
TX-00034,AC-1240,MR-0022,24.06,2026-01-07 12:46:59,travel,DV-25948,OR,2024-06-12
TX-00035,AC-1180,MR-0122,77.4,2026-03-22 13:30:56,retail,DV-31163,NV,2024-09-24
TX-00036,AC-1111,MR-0081,68.58,2026-01-29 14:50:10,fuel,DV-18094,CO,2024-12-14
TX-00037,AC-1052,MR-0168,59.02,2026-02-24 13:53:42,grocery,DV-87438,JP,2023-07-12
TX-00038,AC-1114,MR-0125,8.98,2026-01-19 16:59:50,retail,DV-77941,TX,2023-03-04
TX-00039,AC-1219,MR-0108,97.12,2026-01-22 15:39:04,services,DV-80333,WA,2024-10-11
TX-00040,AC-1230,MR-0201,57.16,2026-02-17 06:33:29,dining,DV-45248,AZ,2024-05-10
TX-00041,AC-1227,MR-0033,53.64,2026-01-08 15:33:53,dining,DV-34031,CO,2024-05-14
TX-00042,AC-1219,MR-0097,35.85,2026-02-06 17:34:47,retail,DV-80333,WA,2024-10-11
TX-00043,AC-1045,MR-0087,34.61,2026-02-23 10:49:56,retail,DV-62610,NV,2024-07-27
TX-00044,AC-1166,MR-0114,16.12,2026-01-11 14:02:55,grocery,DV-94339,DE,2023-07-06
TX-00045,AC-1120,MR-0131,11.63,2026-03-17 16:04:18,electronics,DV-17447,NV,2024-04-01
TX-00046,AC-1059,MR-0011,122.18,2026-02-21 15:34:14,dining,DV-96149,AZ,2023-03-03
