txn_id,account_id,counterparty_id,amount,timestamp,merchant_category,device_id,ip_region,account_open_date
TX-00001,AC-0031,MR-0124,43.18,2026-03-05 04:28:27,grocery,DV-77088,NY,2025-02-14
TX-00002,AC-0164,MR-0137,41.19,2026-04-26 00:18:22,retail,DV-12631,NJ,2024-01-28
TX-00003,AC-0074,MR-0030,37.64,2026-03-21 18:45:22,electronics,DV-10258,FL,2025-09-17
TX-00004,AC-0087,MR-0047,13.51,2026-03-27 02:14:30,retail,DV-64858,FL,2024-11-11
TX-00005,AC-0260,MR-0135,14.52,2026-05-08 09:18:05,retail,DV-96842,NY,2024-07-21
TX-00006,AC-0108,MR-0091,74.37,2026-03-08 11:47:23,services,DV-13552,CT,2025-03-17
TX-00007,AC-0110,MR-0118,26.59,2026-04-13 15:24:25,retail,DV-33622,PA,2024-01-30
TX-00008,AC-0238,MR-0189,26.54,2026-04-21 04:06:20,grocery,DV-29053,NY,2025-06-02
TX-00009,AC-0215,MR-0161,57.63,2026-04-22 20:10:05,services,DV-73611,CA,2024-07-17
TX-00010,AC-0236,MR-0050,32.99,2026-04-27 10:55:01,fuel,DV-30917,PA,2025-09-12
TX-00011,AC-0210,MR-0087,12.42,2026-04-27 19:19:32,grocery,DV-62208,CT,2024-07-05
TX-00012,AC-0251,MR-0076,30.03,2026-04-08 02:59:57,fuel,DV-90093,FL,2025-09-01
TX-00013,AC-0076,MR-0167,10.25,2026-05-30 09:59:13,grocery,DV-16817,CA,2024-12-01
TX-00014,AC-0047,MR-0085,27.78,2026-03-11 21:20:57,services,DV-83231,NY,2025-10-22
TX-00015,AC-0014,MR-0095,15.18,2026-05-26 00:40:14,travel,DV-49661,NJ,2024-06-06
TX-00016,AC-0032,MR-0046,71.13,2026-04-12 10:44:35,dining,DV-81550,PA,2024-09-30
TX-00017,AC-0162,MR-0006,90.66,2026-04-21 08:47:18,electronics,DV-99416,NY,2024-11-07
TX-00018,AC-0011,AC-0003,402.4,2026-05-31 02:23:00,services,DV-58704,NJ,2026-02-16
TX-00019,AC-0283,MR-0171,9.8,2026-03-04 23:05:35,electronics,DV-73296,FL,2025-05-01
TX-00020,AC-0199,MR-0087,47.07,2026-05-26 00:58:00,retail,DV-15673,CA,2025-08-30
TX-00021,AC-0174,MR-0063,226.87,2026-05-10 22:31:19,electronics,DV-11636,NJ,2024-02-15
TX-00022,AC-0223,MR-0005,135.69,2026-04-17 01:38:08,retail,DV-85113,FL,2024-11-23
TX-00023,AC-0108,MR-0017,9.06,2026-04-05 21:15:34,services,DV-13552,CT,2025-03-17
TX-00024,AC-0111,MR-0036,26.09,2026-03-20 14:39:02,fuel,DV-58829,FL,2025-10-06
TX-00025,AC-0275,MR-0073,54.03,2026-03-10 12:27:36,travel,DV-96759,PA,2025-03-13
TX-00026,AC-0232,MR-0074,7.85,2026-03-20 04:42:02,grocery,DV-37080,CT,2024-02-18
TX-00027,AC-0034,MR-0023,49.68,2026-05-20 00:29:26,grocery,DV-93312,PA,2024-11-01
TX-00028,AC-0105,MR-0014,96.99,2026-05-20 08:01:47,grocery,DV-98499,NJ,2024-01-26
